Job Title,Job Description,cleaned
Flutter Developer,"We are looking for hire experts flutter developer. So you are eligible this post then apply your resume.
Job Types: Full-time, Part-time
Salary: ₹20,000.00 - ₹40,000.00 per month
Benefits:
Flexible schedule
Food allowance
Schedule:
Day shift
Supplemental Pay:
Joining bonus
Overtime pay
Experience:
total work: 1 year (Preferred)
Housing rent subsidy:
Yes
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19",looking hire expert flutter developer eligible post apply resume job type fulltime parttime salary per month benefit flexible schedule food allowance schedule day shift supplemental pay joining bonus overtime pay experience total work year preferred housing rent subsidy yes industry software development work remotely temporarily due covid
Django Developer,"PYTHON/DJANGO (Developer/Lead) - Job Code(PDJ - 04)
Strong Python experience in API development (REST/RPC).
Experience working with API Frameworks (Django/flask).
Experience evaluating and improving the efficiency of programs in a Linux environment.
Ability to effectively handle multiple tasks with a high level of accuracy and attention to detail.
Good verbal and written communication skills.
Working knowledge of SQL.
JSON experience preferred.
Good knowledge in automated unit testing using PyUnit.",pythondjango developerlead job codepdj strong python experience api development restrpc experience working api framework djangoflask experience evaluating improving efficiency program linux environment ability effectively handle multiple task high level accuracy attention detail good verbal written communication skill working knowledge sql json experience preferred good knowledge automated unit testing using pyunit
Machine Learning,"Data Scientist (Contractor)

Bangalore, IN

Responsibilities

We are looking for a capable data scientist to join the Analytics team, reporting locally in India Bangalore. This person’s responsibilities include research, design and development of Machine Learning and Deep Learning algorithms to tackle a variety of Fraud oriented challenges. The data scientist will work closely with software engineers and program managers to deliver end-to-end products, including: data collection in big scale and analysis, exploring different algorithmic approaches, model development, assessment and validation – all the way through production.

Qualifications

At least 3 years of hands-on development of complex Machine Learning models using modern frameworks and tools, ideally Python based.
Solid understanding of statistics and applied mathematics
Creative thinker with a proven ability to tackle open problems and apply non-trivial solutions.
Experience in software development using Python, Java or a similar language.
Any Graduate or M.Sc. in Computer Science, Mathematics or equivalent, preferably in Machine Learning
Ability to write clean and concise code
Quick learner, independent, methodical, and detail oriented.
Team player, positive attitude, collaborative, good communication skills.
Dedicated, makes things happen.
Flexible, capable of making decisions in an ambiguous and changing environment.

Advantages:

Prior experience as a software developer or data engineer – advantage
Experience with Big data – advantage
Experience with Spark – big advantage
Experience with Deep Learning frameworks (PyTorch, TensorFlow, Keras) – advantage.
Experience in the Telecommunication domain and/or Fraud prevention - advantage",data scientist contractor bangalore responsibility looking capable data scientist join analytics team reporting locally india bangalore person responsibility include research design development machine learning deep learning algorithm tackle variety fraud oriented challenge data scientist work closely software engineer program manager deliver endtoend product including data collection big scale analysis exploring different algorithmic approach model development assessment validation way production qualification least year handson development complex machine learning model using modern framework tool ideally python based solid understanding statistic applied mathematics creative thinker proven ability tackle open problem apply nontrivial solution experience software development using python java similar language graduate msc computer science mathematics equivalent preferably machine learning ability write clean concise code quick learner independent methodical detail oriented team player positive attitude collaborative good communication skill dedicated make thing happen flexible capable making decision ambiguous changing environment advantage prior experience software developer data engineer advantage experience big data advantage experience spark big advantage experience deep learning framework pytorch tensorflow kera advantage experience telecommunication domain andor fraud prevention advantage
iOS Developer,"JOB DESCRIPTION:

Strong framework outside of iOS is always a plus

iOS experience and generalist engineers with backgrounds in related technologies is a plus

A disciplined approach to development, documentation and file structure

Strong visual design sense and excellent taste

A constant desire to improve, learn more and take things higher

An excellent understanding of networking, mobile network issues, concurrency and threading

Experience working with internationalized apps

RESPONSIBILITIES
Design and build advanced applications for the iOS platform.
Collaborate with cross-functional teams to define, design, and ship new features..
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Have published one or more iOS apps in the app store.
A deep familiarity with Objective-C and Cocoa Touch.
Experience working with iOS frameworks such as Core Data, Core Animation, Core Graphics and Core Text.
Experience with third-party libraries and APIs.
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies.
Solid understanding of the full mobile development life cycle.
Responsible for working on different layers of the iOS apps.
Help architect and maintain our set of native mobile applications.",job description strong framework outside io always plus io experience generalist engineer background related technology plus disciplined approach development documentation file structure strong visual design sense excellent taste constant desire improve learn take thing higher excellent understanding networking mobile network issue concurrency threading experience working internationalized apps responsibility design build advanced application io platform collaborate crossfunctional team define design ship new feature work bug fixing improving application performance continuously discover evaluate implement new technology maximize development efficiency published one io apps app store deep familiarity objectivec cocoa touch experience working io framework core data core animation core graphic core text experience thirdparty library apis working knowledge general mobile landscape architecture trend emerging technology solid understanding full mobile development life cycle responsible working different layer io apps help architect maintain set native mobile application
Full Stack Developer,job responsibility full stack engineer – react role make impact petsmart transforming engineering team meet need rapidly changing retail environment role foundational helping build craft petsmart ’ prowess making react j native key framework across mobile web property working across web mobile application part building amazing mobile first customer experience impact customer store digital channel goal responsibility include act full stack developer across petsmart ’ various web mobile solution full stack engineer help build petsmart ’ competency using react j native across mobile web property partner web engineering team strategy share component across application best practice new advancement react community work product ux team review design concept offer suggestion decrease complexity maintaining spirit experience proactively make recommendation technical enhancement better performance scalability maintainability accountable delivering agile environment creates/oversees completion technical development mobile web solution work cross functional business team design develop solution based business requirement identify area improvement design implementation process tooling automated testing quality assurance mentor le experienced developer remain current latest web technology seeking integrate solution appropriate ’ bring table 5+ year hands-on experience web development 2+ year recent experience working react strong experience various j library framework redux angular vue etc expert understanding javascript html cs restful apis http networking concept full stack web development architecture expertise experience mvc object-oriented programming concept experience implementing responsive design adaptive design demonstrated strong front-end development skill especially concerning accessibility extensibility client-side computing object-oriented design pattern object-oriented cs experience sass/less/postcss framework demonstrated passion user experience design usability familiar experienced making use open source component ability address short term tactical requirement without losing site longer range strategic direction self-motivated discipline meet deadline speed accuracy professional attitude excellent written oral communication skill excellent analytical trouble-shooting skill collaborative team player ability resolve conflict constructive manner work around obstacle ensure project success b computer science equivalent team ’ growing faster pace ever investing heavily cutting-edge technology importantly _our people._ petsmart team ’ department valued business partner every area company every level associate empowered come innovative idea strategic impact business ’ take pride work “ ” behind all—for love pet click meet mike goodwin petsmart ’ cio ’ love home office offer outstanding amenity fun rewarding workplace including pet friendly environment bring pet work ! work-life balance family event movie night art event holiday festival “ top dog ” gym equipment fitness class massage therapist personal trainer “ sit & stay ” café serving fresh breakfast lunch option starbucks cart—productivity finest ! “ lil ’ paw ” learning center onsite childcare facility volunteer event petsmart charity submit resume,job responsibility full stack engineer react role make impact petsmart transforming engineering team meet need rapidly changing retail environment role foundational helping build craft petsmart prowess making react j native key framework across mobile web property working across web mobile application part building amazing mobile first customer experience impact customer store digital channel goal responsibility include act full stack developer across petsmart various web mobile solution full stack engineer help build petsmart competency using react j native across mobile web property partner web engineering team strategy share component across application best practice new advancement react community work product ux team review design concept offer suggestion decrease complexity maintaining spirit experience proactively make recommendation technical enhancement better performance scalability maintainability accountable delivering agile environment createsoversees completion technical development mobile web solution work cross functional business team design develop solution based business requirement identify area improvement design implementation process tooling automated testing quality assurance mentor le experienced developer remain current latest web technology seeking integrate solution appropriate bring table year handson experience web development year recent experience working react strong experience various j library framework redux angular vue etc expert understanding javascript html c restful apis http networking concept full stack web development architecture expertise experience mvc objectoriented programming concept experience implementing responsive design adaptive design demonstrated strong frontend development skill especially concerning accessibility extensibility clientside computing objectoriented design pattern objectoriented c experience sasslesspostcss framework demonstrated passion user experience design usability familiar experienced making use open source component ability address short term tactical requirement without losing site longer range strategic direction selfmotivated discipline meet deadline speed accuracy professional attitude excellent written oral communication skill excellent analytical troubleshooting skill collaborative team player ability resolve conflict constructive manner work around obstacle ensure project success b computer science equivalent team growing faster pace ever investing heavily cuttingedge technology importantly people petsmart team department valued business partner every area company every level associate empowered come innovative idea strategic impact business take pride work behind allfor love pet click meet mike goodwin petsmart cio love home office offer outstanding amenity fun rewarding workplace including pet friendly environment bring pet work worklife balance family event movie night art event holiday festival top dog gym equipment fitness class massage therapist personal trainer sit stay caf serving fresh breakfast lunch option starbucks cartproductivity finest lil paw learning center onsite childcare facility volunteer event petsmart charity submit resume
Java Developer,"Software Developer - Integration*
Immediate Opening!*
A dynamic Akron / Cleveland area company is looking for an experienced software developer. The Integration Developer designs, develops, tests, maintains and enhances multiple systems serving internal users as well as our suppliers and customers. The Integration Developer interacts with IT and other internal business partners to deliver systems that advance company strategy and improve the enterprise capability of IT.
Candidates need to demonstrate experience in the following skillsets: *
· Proven technical expertise in the design, development, coding, testing, and debugging of enterprise software.

· Strong knowledge of web services (WSDL, Soap, Restful).

· Experience working with relational databases.

· Experience authoring and maintaining data access and / or database queries.

· Familiar with standard software design patterns, methodologies, and the MVC architecture.

· Proficient in the following technologies: C#, .NET, .NET Core, HTML5, CSS3, MsSQL, MySQL, ReactJS.

· Experience working with and/or administering Microsoft IIS

· Experience with SYSPRO’s ERP package a plus but not required
Candidates must be able to execute the following functions: *
· Creates and deploys code and configuration associated with support and project work across our application portfolio.

· Assists in creating, evolving and standardizing technical processes such as source code management, continuous integration, etc.

· Submits code and configuration with high levels of quality, performance, security, scalability and extensibility.

· Assists in the creation and evaluation of business requirements and project plans.
Other requirements include: *
· Takes pride in delivering work on time and with quality

· Good problem solving and decision making abilities

· Ability to learn quickly in a fast-paced environment

· Ability to both work independently and with teams

· Effectively juggles a continuous mix of support and project work

· Able to work off hours / provide on-call support when needed

The ideal candidate must be a self-starter, able to work independently, and have experience in the skillsets mentioned above. This position requires a highly responsible and organized individual with a good work ethic and a minimum of two years of experience using the tools and technologies noted above.

Compensation is commensurate with experience.
Industries* - Manufacturing-Other
Education* - Bachelor's Degree in Computer Science, Information Systems, or related field, or combination of education and equivalent work experience.
Job Type: Contract

Experience:
Software development: 2 years (Required)
Work Location:
One location
Work Remotely:
No",software developer integration immediate opening dynamic akron cleveland area company looking experienced software developer integration developer design develops test maintains enhances multiple system serving internal user well supplier customer integration developer interacts internal business partner deliver system advance company strategy improve enterprise capability candidate need demonstrate experience following skillsets proven technical expertise design development coding testing debugging enterprise software strong knowledge web service wsdl soap restful experience working relational database experience authoring maintaining data access database query familiar standard software design pattern methodology mvc architecture proficient following technology c net net core html cs mssql mysql reactjs experience working andor administering microsoft ii experience syspros erp package plus required candidate must able execute following function creates deploys code configuration associated support project work across application portfolio assist creating evolving standardizing technical process source code management continuous integration etc submits code configuration high level quality performance security scalability extensibility assist creation evaluation business requirement project plan requirement include take pride delivering work time quality good problem solving decision making ability ability learn quickly fastpaced environment ability work independently team effectively juggle continuous mix support project work able work hour provide oncall support needed ideal candidate must selfstarter able work independently experience skillsets mentioned position requires highly responsible organized individual good work ethic minimum two year experience using tool technology noted compensation commensurate experience industry manufacturingother education bachelor degree computer science information system related field combination education equivalent work experience job type contract experience software development year required work location one location work remotely
JavaScript Developer,"Job Description:

ReactJS + NodeJs, Azure Functions, and GraphQL capability

Strong hands on experience on javascript frameworks like reactjs
Having hands on experience on nodejs
Hands on experience on Azure function and integrations
Strong hands on experience on HTML5/CSS3/Javascript
Excellent written and verbal communication.
Knowledge of REST as well as GRAPHQL
Experience Range:

3 - 8 years

Educational Qualifications:

Any graduation, and Any PG and Any Doctorate

Job Responsibilities:

Implementing visual components & building rich UI for complex internal and external systems.
Taking ownership of modules, and building the foundation of new systems which are inline with improved quality, process & productivity
Have a passion for quality and writing clean, solid, readable code that scales and performs well.

Skills Required :

ReactJS, NodeJS, Azure Functions, GraphQL,

Job Code : #KL-DP3PZB64",job description reactjs nodejs azure function graphql capability strong hand experience javascript framework like reactjs hand experience nodejs hand experience azure function integration strong hand experience htmlcssjavascript excellent written verbal communication knowledge rest well graphql experience range year educational qualification graduation pg doctorate job responsibility implementing visual component building rich ui complex internal external system taking ownership module building foundation new system inline improved quality process productivity passion quality writing clean solid readable code scale performs well skill required reactjs nodejs azure function graphql job code kldppzb
DevOps Engineer,"Main Responsibilities and Deliverables:
Manage/support the rollout, scalability and execution of the automation as it is consumed by the various teams
Ensure automation services scales to handle rapid growth
Using the automations, establish the ability to measure and optimize system health and performance.
On an ongoing basis; configure, tune and troubleshoot automations to achieve optimal application performance and stability
Strong scripting experience with; Bash, Ruby, Python, Java.
Solid experience working with commercial grade automated deployment & configuration mgmt. tools such as; Puppet, Chef, Cloudify, CFEngine. (Puppet skills strongly coveted.)
Strong “hands-on” experience with open source and provisioning tools such as; Cobbler, Foreman, PHP, and Linux or other likewise open source systems, tools /utilities.
Strong senior level Linux & Windows OS experience & troubleshooting skills
Experience with application debugging, performance, scalability & capacity planning expertise
Manage full system lifecycle of automations including configuration and code deployment in user acceptance test and production environments
Improve automated product performance health checks and “self-healing” capabilities in complex highly available Cloud environments.
Participates and assists to drive the automation tools roadmap to increase availability, performance and reduce support demands.
Drive the adoption of Infrastructure as Code in a DevOps oriented organization
Partner with R&D teams to engineer resilient, supportable and scalable products
Architect solutions to leverage the best of Cloud infrastructure
Experience with tools and software such as Urban Code, Hadoop, Tomcat, Mule, OpenAM and Apache
Experience with F5 load balancers, networking theory and protocols (TCP/IP, HTTP, NTP, DNS) and hardware components.",main responsibility deliverable managesupport rollout scalability execution automation consumed various team ensure automation service scale handle rapid growth using automation establish ability measure optimize system health performance ongoing basis configure tune troubleshoot automation achieve optimal application performance stability strong scripting experience bash ruby python java solid experience working commercial grade automated deployment configuration mgmt tool puppet chef cloudify cfengine puppet skill strongly coveted strong handson experience open source provisioning tool cobbler foreman php linux likewise open source system tool utility strong senior level linux window o experience troubleshooting skill experience application debugging performance scalability capacity planning expertise manage full system lifecycle automation including configuration code deployment user acceptance test production environment improve automated product performance health check selfhealing capability complex highly available cloud environment participates assist drive automation tool roadmap increase availability performance reduce support demand drive adoption infrastructure code devops oriented organization partner rd team engineer resilient supportable scalable product architect solution leverage best cloud infrastructure experience tool software urban code hadoop tomcat mule openam apache experience f load balancer networking theory protocol tcpip ntp dns hardware component
